,pcd_adjusted,lat,long,ages_0_15,ages_16_29,ages_30_44,ages_45_65,ages_66_plus,pop_density,couple_children_dependent,couple_children_nondependent,lone_parent,single,other_multi,owned_outright,owned_mortgage,rented_social,rented_private,usual_residents,nonusual_residents,house_detached,house_semidetached,house_terraced,flat,economic_active,economic_inactive,employee,self-employed,unemployed,student,unqualified,level_1,level_2,apprenticeship,level_3,level_4,other,good_health,fair_health,bad_health,public_transport_accessibility,mean_income
10,CM23,51.528566,-0.116476,0.20258863252673046,0.3691615081598199,0.2301631963984243,0.14406302757456388,0.05402363534046145,218.0,0.057999999999999996,0.13,0.171,0.414,0.22699999999999998,0.053,0.053,0.478,0.391,0.958,0.042,0.016,0.012,0.057,0.914,904.0,0.33234859675036926,0.4150664697193501,0.0827178729689808,0.07016248153618906,0.09970457902511078,0.113,0.092,0.098,0.004,0.19899999999999998,0.391,0.102,0.8540000000000001,0.096,0.05,8.0,34786.0
11,CR0,51.37322037473457,-0.07818320559094122,0.22092695401280057,0.1953766317949847,0.2358532823791944,0.22895077291707494,0.1188923588959467,72.04529370134466,0.18580360934182502,0.233506369426751,0.16589207360226454,0.30247876857749356,0.11236942675159133,0.21757183297947805,0.31243276716206364,0.2207629157820241,0.2212876857749462,0.968310332625625,0.03168966737438109,0.08619355980183943,0.254762915782026,0.26573637650389337,0.39282661004953096,935.2154989384288,0.2758963005314089,0.5361437621855769,0.09376756319192013,0.05686371469782065,0.03732865939327523,0.1915449398443024,0.14161748053786494,0.14641365888181268,0.021326256192498592,0.10940304317055974,0.3049646142958233,0.0846620665251244,0.8298694267515898,0.1219798301486184,0.048138358103326645,3.8888535031847167,38902.07466383581
12,CR2,51.345227401036865,-0.0954377450518376,0.19286223563069887,0.1754063759784686,0.2191248627681204,0.25570309044008815,0.15690343518262168,42.604618284637134,0.21115080113100793,0.31289349670122496,0.11132327992459869,0.2648213949104638,0.10001272384542939,0.3174307257304418,0.393638548539117,0.09427803958529682,0.1752450518378903,0.976142789820935,0.023857210179076518,0.2658454288407204,0.29295805843543815,0.14457964184731545,0.2956899151743655,877.1432610744581,0.26352565642015013,0.5494806216937486,0.1173104265051913,0.0398000171085978,0.029883278272313393,0.14703534401508173,0.12662818096135456,0.15865504241281955,0.023045240339302567,0.1178595664467488,0.36664985862393795,0.060135721017907956,0.850795947219603,0.11032139491046243,0.038886899151743384,2.7765786993402757,51134.049481621114
13,CR3,51.31452949256506,-0.1318906802973979,0.1924880839067118,0.14532319526802515,0.1899412203102642,0.28897698956700923,0.18327051094798805,28.2546468401487,0.23922862453531665,0.34233085501858757,0.10431226765799245,0.24311152416356932,0.07120260223048351,0.3688382899628233,0.43664126394052055,0.09200929368029767,0.08796654275092908,0.9793494423791811,0.02065055762081775,0.2888308550185861,0.4101617100371726,0.1654442379182145,0.13502044609665467,801.5241635687732,0.2733128690096343,0.5399870640983598,0.11835565904692855,0.03893605400224087,0.02940835384283599,0.17322676579925536,0.147362453531599,0.17414126394052004,0.02965241635687723,0.12273977695167274,0.3081654275092942,0.04466728624535345,0.8358754646840182,0.12415985130111569,0.040224907063197084,2.2198884758364312,51125.13382899628
14,CR4,51.40254158811703,-0.1447712995971798,0.22823351115211513,0.19469103083016498,0.24125013373765125,0.23221187434433174,0.10361344993574333,88.77643504531721,0.1932502517623375,0.20235196374622247,0.17393504531721787,0.2743141993957664,0.15614199395769998,0.2030181268882168,0.3363927492447139,0.21416717019133988,0.22080463242698908,0.9745916414904234,0.025408358509567287,0.045980362537764115,0.1884783484390736,0.42850553877140046,0.33657200402819515,866.238670694864,0.28295181605148784,0.49988230932710764,0.10514965764962383,0.062431896633281206,0.04958432033849741,0.20283383685800402,0.13801258811681694,0.14322457200402866,0.0172336354481372,0.10659768378650664,0.27015307150050155,0.12183887210473499,0.8306858006042194,0.12172255790533638,0.04764400805639506,3.0529204431017423,34780.811178247735
15,CR44,51.38232177272727,-0.13289631818181816,0.2380085003035823,0.1578627808136005,0.23072252580449304,0.2562234365513056,0.11718275652701889,5.0,0.242,0.27099999999999996,0.133,0.295,0.05800000000000003,0.23399999999999999,0.4459999999999999,0.18199999999999997,0.12300000000000005,0.9819999999999997,0.018000000000000013,0.06699999999999996,0.26499999999999996,0.4050000000000001,0.26299999999999996,818.0,0.2340823970037453,0.5908239700374532,0.09925093632958798,0.04868913857677903,0.027153558052434464,0.21499999999999994,0.1400000000000001,0.16800000000000004,0.03300000000000002,0.12400000000000007,0.2720000000000002,0.048000000000000015,0.843,0.11400000000000002,0.04300000000000001,2.5,38112.0
16,CR5,51.316012401162475,-0.13739704767441804,0.19507705264224642,0.15003422732991492,0.1939139884883018,0.29037643041254785,0.1705983011269888,34.15348837209302,0.24353372093023198,0.3315430232558091,0.10666162790697593,0.2377604651162766,0.08034069767441826,0.3624255813953452,0.45404651162790916,0.07610930232558188,0.0955209302325574,0.978644186046508,0.02135581395348864,0.23701279069767334,0.4119081395348844,0.2324162790697687,0.11850813953488656,791.7837209302326,0.2673879570103248,0.5516580052624882,0.11005158646014904,0.03971475378728368,0.031187697479754226,0.16961162790697829,0.144548837209302,0.1730058139534884,0.028663953488372,0.12337790697674393,0.3163244186046546,0.04473720930232579,0.8430860465116443,0.12138837209302326,0.0357093023255809,2.4604651162790607,50803.774418604655
17,CR6,51.322173875000004,-0.04614575,0.20562064081720377,0.15102100557755022,0.19532017634087032,0.2825144399448109,0.16552373731956477,27.0,0.25725000000000003,0.34812499999999996,0.124875,0.19525,0.0745,0.347,0.457375,0.088375,0.08824999999999998,0.97275,0.027249999999999996,0.26637500000000003,0.5591249999999999,0.080375,0.0755,804.875,0.2636510373966778,0.5338210104346661,0.13311249103797837,0.03842629081102181,0.030989170319655996,0.19924999999999998,0.16662500000000002,0.18987500000000004,0.050499999999999996,0.11712499999999999,0.23087500000000002,0.04649999999999999,0.8451249999999999,0.1095,0.045375,1.6374999999999997,46151.0
18,CR7,51.39270860998954,-0.10350813708820376,0.22601702967374876,0.20591268159817755,0.2332102826051264,0.23375759471011723,0.10110241141283119,94.77045696068012,0.1654495217853345,0.19668225292242295,0.18100212539851038,0.28980233793836285,0.167065887353879,0.21178852284803454,0.32799893730074053,0.15617428267800215,0.2826482465462293,0.9747619553666281,0.02523804463336863,0.052420828905419894,0.22450797024442076,0.3690467587672683,0.3528310308182798,844.7704569606801,0.28097452494933856,0.5105996713933806,0.09673461273305328,0.06110600771833311,0.050585183205894,0.17825717321997944,0.13349628055260382,0.14232199787460217,0.014549415515409113,0.10521466524973395,0.3203857598299674,0.1057523910733257,0.8342763018065842,0.11787778958554763,0.047890541976620155,4.251115834218913,35497.826780021256
19,CR8,51.336841890311,-0.11122050457038381,0.19461690984603697,0.17392543328679547,0.2249141971298004,0.2558567624410403,0.1506866972963185,41.390310786106035,0.22773126142596137,0.3157979890310847,0.10560054844607027,0.2503180987202946,0.10083638025594084,0.3004232175502699,0.4223318098720296,0.07444332723948818,0.17873583180987296,0.9725182815356462,0.027481718464351188,0.31331992687385823,0.2318583180987182,0.14415265082266748,0.3103628884826352,894.264168190128,0.2608811932110583,0.545321865067516,0.125797710149328,0.038953038532941214,0.029046193039158036,0.13375228519195428,0.1229140767824495,0.15803656307130004,0.02199360146252272,0.11871023765996264,0.38512979890310456,0.05948171846435186,0.8574414990859185,0.10642230347348934,0.0361060329067637,2.7463436928702203,53853.8957952468
