,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed
510,terraced house,4,2,0.1,"Kimberley Avenue, Seven Kings, Ilford IG2",2150,IG2,1058.3333333333333
511,flat,1,1,0.2,"Alto, Wembley Park HA9",1741,HA9,1058.3333333333333
512,flat,2,2,0.3,"Madison, Wembley Park HA9",2226,HA9,1058.3333333333333
513,flat,1,1,0.2,"Landsby Building, Wembley Park HA9",1864,HA9,1058.3333333333333
514,flat,1,1,0.3,"Canada Gardens, Wembley HA9",1549,HA9,1058.3333333333333
515,flat,2,2,0.2,"Landsby Building, Wembley Park HA9",2341,HA9,1058.3333333333333
516,terraced house,3,1,0.1,"Bruce Road, Harrow HA3",1795,HA3,1058.3333333333333
517,flat,2,1,0.1,"Fulham Road, London SW3",4225,SW3,1058.3333333333333
518,flat,2,2,0.8,"The Long Room Apartments, Royal Quay, Harefield UB9",1495,UB9,1058.3333333333333
519,flat,1,1,0.3,"Beton, Wembley Park HA9",1928,HA9,1058.3333333333333
520,flat,1,1,0.1,"Ferrum, Wembley Park HA9",1522,HA9,1058.3333333333333
521,flat,2,1,0.1,"John Silkin Lane, London SE8",1650,SE8,1058.3333333333333
522,flat,1,1,0.1,"St. Catherines Close, London SW20",1350,SW20,1058.3333333333333
523,flat,1,1,0.1,"St. Mary's Road, London SE15",1500,SE15,1058.3333333333333
524,flat,1,1,0.2,"Caraway Heights, London E14",1690,E14,1058.3333333333333
525,flat,2,1,0.1,"Axminster Road, London N7",1800,N7,1058.3333333333333
526,flat,1,1,0.2,"Peabody Buildings, Rosendale Road, London SE24",1300,SE24,398
527,flat,2,1,0.1,"Fieldgate Street, London E1",1850,E1,1058.3333333333333
528,flat,2,2,0.1,"Garrett Street, London EC1Y",3683,EC1Y,1058.3333333333333
529,flat,1,1,0.1,"Landmark Heights, 172 Daubeney Road, London E5",1350,E5,1058.3333333333333
530,flat,3,2,0.1,"Old Nichol Street, London E2",4247,E2,1058.3333333333333
531,flat,3,3,0.1,"Redchurch Street, London E2",6000,E2,1058.3333333333333
532,flat,1,1,0.3,"Elm Park Road, London N21",1000,N21,1058.3333333333333
533,flat,1,1,0.2,"Brownlow Road, Bounds Green, London N11",1495,N11,549
534,flat,2,2,0.1,"Sloane Court East, London SW3",4983,SW3,1058.3333333333333
535,flat,2,1,0.2,"Alder Road, Sidcup DA14",1195,DA14,1058.3333333333333
536,flat,1,1,0.2,"Westow Hill, London SE19",1195,SE19,1058.3333333333333
537,flat,1,1,0.2,"Kensington Court, London W8",2275,W8,1058.3333333333333
538,terraced house,3,1,0.2,"Fairfax Road, London N8",2300,N8,1058.3333333333333
539,flat,1,1,0.2,"Mountgrove Road, Highbury N5",2102,N5,1058.3333333333333
540,flat,2,2,0.1,"Mill Place, Kingston Upon Thames KT1",1675,KT1,1058.3333333333333
541,flat,1,1,0.1,"Kennington Oval, London SE11",1750,SE11,1058.3333333333333
542,flat,1,1,0.0,"Central Park Road, London E6",1350,E6,1058.3333333333333
543,terraced house,2,1,0.0,"Lower Road, Harrow HA2",1550,HA2,1058.3333333333333
544,flat,1,1,0.1,"Northcote Road, Croydon CR0",1050,CR0,1058.3333333333333
545,detached house,3,1,0.2,"Armfield Road, Enfield EN2",1850,EN2,1058.3333333333333
546,detached house,7,3,0.1,"Briar Walk, Putney, London SW15",10000,SW15,1058.3333333333333
547,terraced house,4,3,0.2,"Elsenham Street, London SW18",3500,SW18,1058.3333333333333
548,flat,1,1,0.1,"Marsh Wall, London E14",2000,E14,1058.3333333333333
549,flat,2,1,0.1,"Broughton Place, London E17",1600,E17,1058.3333333333333
550,flat,1,1,0.1,"Kensington Gardens Square, London W2",2817,W2,1058.3333333333333
551,flat,4,3,0.3,"30 Gatliff Road, London SW1W",6500,SW1W,1058.3333333333333
552,flat,2,2,0.1,"Poole Street, London N1",2102,N1,1058.3333333333333
553,flat,1,1,0.3,"York Road, London SW11",1400,SW11,1058.3333333333333
554,flat,1,1,0.1,"Ongar Road, London SW6",1746,SW6,1058.3333333333333
555,flat,2,2,0.4,"Malthouse Road, London SW11",3150,SW11,1058.3333333333333
556,flat,3,2,0.0,"Lansdowne Road, Bromley BR1",1750,BR1,1058.3333333333333
557,flat,2,1,0.1,"Haling Park Road, South Croydon CR2",1300,CR2,1058.3333333333333
558,flat,2,2,0.1,"Colmore House, Frazer Nash Close, Isleworth TW7",1750,TW7,1058.3333333333333
559,terraced house,2,1,0.0,"Lime Street, London E17",1800,E17,1058.3333333333333
560,detached house,4,2,0.1,"West Road, London W5",4250,W5,1058.3333333333333
561,terraced house,2,1,0.3,"Chancery Lane, Beckenham BR3",1500,BR3,1058.3333333333333
562,flat,1,1,0.1,"Hamilton Road, London W5",1750,W5,1058.3333333333333
563,flat,2,1,0.1,"Cecile Park, Crouch End, London N8",1603,N8,1058.3333333333333
564,flat,3,2,0.1,"Park View Road, London N3",2750,N3,1058.3333333333333
565,flat,4,2,0.1,"Park View Road, London N3",2750,N3,1058.3333333333333
566,flat,2,1,0.2,"High Road, North Finchley N12",1235,N12,1058.3333333333333
567,detached house,6,4,0.1,"Briar Walk, Putney, London SW15",10000,SW15,1058.3333333333333
568,flat,1,1,0.1,"Camden Road, Camden NW1",1560,NW1,1058.3333333333333
569,property,2,2,0.2,"Upper Brook Street, Mayfair, London W1K",6045,W1K,1058.3333333333333
570,flat,2,2,0.2,"Yeomans Row, Knightsbridge, London SW3",3142,SW3,1058.3333333333333
571,flat,3,2,0.2,"Stafford Terrace, Kensington, London W8",5417,W8,1058.3333333333333
572,flat,2,3,0.1,"Kingsland Road, Hackney, London N1",3100,N1,1058.3333333333333
573,flat,4,2,0.1,"Warrington Crescent, Little Venice, London W9",5612,W9,1058.3333333333333
574,terraced house,5,3,0.1,"Dalyell Road, London SW9",5833,SW9,2005
575,flat,2,2,0.1,"Fairmont Avenue, Canary Wharf, London E14",2300,E14,1058.3333333333333
576,flat,1,1,0.1,"Broadway Market, London E8",1500,E8,1058.3333333333333
577,flat,2,1,0.2,"Whytecliffe Road North, Purley, Surrey CR8",1150,CR8,1058.3333333333333
578,mews house,3,2,0.0,"Penrose Mews, 327 Lillie Road, Fulham, London SW6",3467,SW6,1058.3333333333333
579,maisonette,3,2,0.0,"Lambton Road, Raynes Park, London SW20",2250,SW20,898
580,flat,2,1,0.1,"Thrawl Street, Spitalfields, London E1",3275,E1,803
581,flat,1,1,0.2,"Holloway Road, Holloway, London N7",1900,N7,531
582,flat,3,2,0.2,"Hurley House, West Drayton UB7",1575,UB7,891
583,terraced house,3,1,0.1,"Brightfield Road, London SE12",2200,SE12,1058.3333333333333
584,flat,2,2,0.1,"Greenwich High Road, London SE10",1950,SE10,1058.3333333333333
585,flat,2,1,0.0,"Fitzjohns Avenue, London NW3",1950,NW3,1058.3333333333333
586,flat,1,1,0.1,"Coventry Road, Ilford IG1",1250,IG1,1058.3333333333333
587,flat,3,2,0.1,"Barkston Gardens, London SW5",5044,SW5,1058.3333333333333
588,flat,2,2,0.2,"Yashin House, Wembley HA9",1850,HA9,1058.3333333333333
589,flat,1,1,0.2,"Sidcup, Kent DA14",1950,DA14,1058.3333333333333
590,flat,2,1,0.3,"Hatton Court, Chislehurst BR7",1400,BR7,1058.3333333333333
591,flat,2,2,0.1,"Hillside, London NW10",1650,NW10,1058.3333333333333
592,flat,1,1,0.1,"Bramble House, London E3",1184,E3,1058.3333333333333
593,flat,3,1,0.1,"Brookstone Court, Peckham Rye, London SE15",1600,SE15,1058.3333333333333
594,flat,3,2,0.1,"Merchant Square East, London W2",6327,W2,1058.3333333333333
595,flat,2,2,0.0,"Westferry Road, London E14",3640,E14,1058.3333333333333
596,terraced house,2,1,0.3,"Franklin Way, Croydon CR0",1300,CR0,588
597,flat,1,1,0.2,"Wardour Mews, London W1F",2383,W1F,1058.3333333333333
598,flat,1,1,0.0,"Electric Avenue, London SW9",1725,SW9,1058.3333333333333
599,flat,1,1,0.1,"London Road, Morden SM4",1400,SM4,1058.3333333333333
600,flat,2,1,0.3,"Hertford Road, Enfield EN3",1350,EN3,1058.3333333333333
601,terraced house,4,1,0.2,"Gorringe Park Avenue, Mitcham CR4",2000,CR4,1058.3333333333333
602,maisonette,3,3,0.1,"Shoot Up Hill, London NW2",2750,NW2,1058.3333333333333
603,terraced house,3,2,0.1,"Garratt Terrace, London SW17",2400,SW17,1058.3333333333333
604,flat,2,1,0.1,"Rupert Street, Soho W1D",3163,W1D,902
605,flat,1,1,0.3,"Elm Park Road, Winchmore Hill, London N21",1000,N21,366
606,terraced house,3,2,0.2,"Clitheroe Avenue, Harrow HA2",2000,HA2,1058.3333333333333
607,semi-detached house,3,1,0.1,"Grange Road, South Croydon CR2",1750,CR2,1058.3333333333333
608,property,2,1,0.1,"Capworth Street, London E10",1700,E10,1058.3333333333333
609,maisonette,2,1,0.3,"Melina Close, Hayes UB3",1250,UB3,1058.3333333333333
610,flat,1,1,0.1,"Monmouth Street, Covent Garden WC2H",3012,WC2H,729
611,flat,1,1,0.1,"Fouberts Place, London W1F",2600,W1F,568
612,flat,1,1,0.1,"Cumming Street, London N1",1650,N1,1058.3333333333333
613,flat,2,2,0.2,"Dundee Wharf, 100 Three Colt Street, London E14",2700,E14,1058.3333333333333
614,flat,2,2,0.1,"Queens Rd, Hendon NW4",2650,NW4,1058.3333333333333
615,flat,2,2,0.1,"Kensington Mansions, Trebovir Road, London SW5",3250,SW5,1058.3333333333333
