,type,bedrooms,bathrooms,nearest_station,address,price,postcode,size_imputed
616,flat,3,4,0.2,"Cashmere Wharf, London Dock E1W",6200,E1W,1058.3333333333333
617,flat,2,1,0.1,"Driffield Road, Bow, London E3",2250,E3,1058.3333333333333
618,flat,2,1,0.0,"Royal Mint Street, Tower Hill E1",2500,E1,1058.3333333333333
619,flat,3,3,0.1,"Young Street, London W8",30117,W8,1058.3333333333333
620,flat,2,2,0.1,"Bedingfeld House, 13 Leamore Street, Hammersmith, London W6",3207,W6,1058.3333333333333
621,flat,1,1,0.1,"5 New Tannery Way, London SE1",2492,SE1,1058.3333333333333
622,flat,2,1,0.2,"Oak Hill Grove, Surbiton KT6",1650,KT6,1058.3333333333333
623,semi-detached house,5,3,0.2,"Stanmore, Harrow HA7",5000,HA7,1058.3333333333333
624,flat,1,1,0.2,"The Avenue, Surbiton, Surrey KT5",1200,KT5,1058.3333333333333
625,flat,2,2,0.0,"Block C, 2 Station Grove, London HA0",1735,HA0,699
626,flat,1,1,0.1,"Lambros House, Pentonville Road, London N1",1800,N1,1058.3333333333333
627,flat,1,1,0.1,"Old School Court, Drapers Road, London N17",1400,N17,1058.3333333333333
628,flat,2,2,0.2,"Brackley Road, Beckenham BR3",1700,BR3,1058.3333333333333
629,flat,2,1,0.1,"Kingston Hill, Kingston Upon Thames KT2",1750,KT2,1058.3333333333333
630,flat,2,1,0.1,"Rye Lane, London SE15",1695,SE15,1058.3333333333333
631,flat,1,1,0.1,"Park Road, London NW8",2253,NW8,331
632,flat,3,2,0.1,"Merchant Square East, London W2",6414,W2,923
633,flat,2,1,0.3,"Brenthurst Road, London NW10",1750,NW10,1058.3333333333333
634,maisonette,2,1,0.2,"Glenhill Close, Finchley N3",1500,N3,1058.3333333333333
635,flat,2,3,0.1,"Holland Park, London W11",5417,W11,1360
636,terraced house,2,1,0.1,"Barclay Road, London E17",1795,E17,1058.3333333333333
637,flat,2,2,0.2,"The Mews, Norbury Crescent, London SW16",1700,SW16,1046
638,flat,1,1,0.1,"Bermondsey Square, London SE1",1950,SE1,1058.3333333333333
639,flat,1,1,0.4,"Underhill Road, London SE22",1250,SE22,1058.3333333333333
640,flat,2,1,0.2,"Gloucester Gardens, London W2",2300,W2,1058.3333333333333
641,maisonette,2,1,0.1,"Child's Street, Earls Court SW5",2210,SW5,1058.3333333333333
642,equestrian property,1,1,0.3,"Anglian Industrial Estate, Barking IG11",1700,IG11,1058.3333333333333
643,flat,2,1,0.3,"Makepeace Road, Northolt UB5",1275,UB5,1058.3333333333333
644,flat,3,3,0.3,"L-000268, 2 Prospect Way, Battersea SW11",6283,SW11,1058.3333333333333
645,flat,2,2,0.4,"Thornes House, London SW11",4052,SW11,1058.3333333333333
646,terraced house,4,3,0.1,"Swaffield Road, London SW18",3750,SW18,1058.3333333333333
647,flat,2,2,0.1,"Strafford Road, Twickenham TW1",1450,TW1,1058.3333333333333
648,flat,2,1,0.2,"Robinson Road, London SW17",1650,SW17,1058.3333333333333
649,flat,1,1,0.1,"Lisgar Terrace, West Kensington W14",2250,W14,1058.3333333333333
650,flat,2,2,0.3,"Lookwood Place, Chingford E4",1500,E4,1058.3333333333333
651,flat,3,1,0.2,"Auckland Road, Battersea, London SW11",4200,SW11,1058.3333333333333
652,flat,2,1,0.0,"Lordship Lane, East Dulwich, London SE22",1550,SE22,1058.3333333333333
653,flat,3,2,0.1,"Finchley Road, London NW8",5308,NW8,1058.3333333333333
654,flat,3,1,0.2,"Goldhurst Terrace, South Hampstead NW6",2448,NW6,1058.3333333333333
655,semi-detached house,4,2,0.3,"Hill Road, Pinner HA5",2800,HA5,1058.3333333333333
656,flat,1,1,0.1,"Cadogan Road, Surbiton KT6",1175,KT6,1058.3333333333333
657,flat,2,2,0.4,"Thornes House, London SW11",5005,SW11,1058.3333333333333
658,flat,4,3,0.1,"Old Brompton Road, London SW5",6933,SW5,1058.3333333333333
659,flat,2,2,0.2,"Cumberland Avenue, London NW10",1925,NW10,1058.3333333333333
660,flat,3,2,0.3,"Park Road, Crouch End N8",2600,N8,1058.3333333333333
661,terraced house,4,2,0.1,"Princes Gardens, London, Greater London W3",2800,W3,1058.3333333333333
662,flat,2,2,0.1,"Thorpedale Road, London N4",1850,N4,1058.3333333333333
663,flat,1,1,0.2,"Justin Close, Brentford TW8",1300,TW8,510
664,flat,2,1,0.1,"Chetwynd Villas, Chetwynd Road, London NW5",2167,NW5,1058.3333333333333
665,flat,1,1,0.1,"Essex Road, London N1",1450,N1,1058.3333333333333
666,detached house,3,2,0.1,"Pembroke Gardens Close, London W8",8450,W8,1058.3333333333333
667,flat,1,1,0.1,"35 Wellesley Road, London CR0",1200,CR0,1058.3333333333333
668,flat,1,1,0.1,"35 Wellesley Road, London CR0",1150,CR0,1058.3333333333333
669,flat,4,1,0.1,"12 Finchley Road, London NW8",53507,NW8,1058.3333333333333
670,end terrace house,5,2,0.1,"Highfield Close, London NW9",3200,NW9,1058.3333333333333
671,flat,2,2,0.1,"Albion Drive, London E8",2500,E8,1058.3333333333333
672,flat,1,1,0.3,"Limes Road, Beckenham, Kent BR3",1250,BR3,549
673,flat,4,2,0.1,"Finchley Rd, London NW8",5308,NW8,1058.3333333333333
674,terraced house,3,2,0.2,"Clarence Road, Wimbledon SW19",3000,SW19,1058.3333333333333
675,flat,2,1,0.2,"Edith Terrace, London SW10",3012,SW10,832
676,flat,2,1,0.2,"Royal Avenue, Worcester Park KT4",1450,KT4,1058.3333333333333
677,terraced house,2,1,0.2,"Huntsman Road, Ilford IG6",1500,IG6,1058.3333333333333
678,flat,3,2,0.2,"Egerton Place, Knightsbridge, London SW3",8450,SW3,1241
679,flat,3,2,0.2,"Egerton Place, Knightsbridge, London SW3",17334,SW3,1241
680,flat,2,1,0.1,"Semley Place, Sloane Square, London SW1W",2167,SW1W,806
681,flat,1,1,0.1,"Merchant Square, Marylebone, London W2",6067,W2,566
682,flat,4,2,0.1,"Finchley Road, London NW8",5308,NW8,1316
683,flat,1,1,0.1,"Mile End Road, London E1",1500,E1,1058.3333333333333
684,terraced house,3,1,0.2,"Dane Road, Southall, Middlesex UB1",1850,UB1,1058.3333333333333
685,flat,2,1,0.1,"Byron Road, Harrow HA1",1250,HA1,1058.3333333333333
686,flat,1,1,0.1,"Harrowdene Gardens, Teddington TW11",1275,TW11,1058.3333333333333
687,flat,4,2,0.2,"99 Hamilton Terrace, London NW8",3983,NW8,1058.3333333333333
688,,1,2,0.0,"Farrier Walk, Chelsea SW10",4008,SW10,1256
689,flat,1,1,0.4,"Brimsdown Avenue, Enfield EN3",1000,EN3,1058.3333333333333
690,flat,1,1,0.2,"Willesden Green, London NW2",1400,NW2,1058.3333333333333
691,flat,1,1,0.1,"Sensa Apartments 16 Royal Engineers Way, London NW7",1450,NW7,1058.3333333333333
692,flat,1,1,0.3,"Bow Quarter, London E3",1475,E3,1058.3333333333333
693,flat,1,1,0.2,"Greencroft Gardens, South Hampstead NW6",1885,NW6,1058.3333333333333
694,flat,1,1,0.1,"Wandsworth Road, London SW8",1800,SW8,1058.3333333333333
695,flat,1,1,0.1,"South Grove, London E17",1395,E17,1058.3333333333333
696,flat,2,1,0.2,"Harlech Road, London N14",1550,N14,1058.3333333333333
697,flat,3,2,0.3,"The Reflection, North Woolwich E16",1800,E16,865
698,flat,1,1,0.1,"Haydon's Road, Wimbledon SW19",1595,SW19,1058.3333333333333
699,flat,3,2,0.1,"Merchant Square, Paddington W2",6608,W2,912
700,maisonette,2,1,0.0,"York Close, Hanwell W7",1400,W7,504
701,flat,4,4,0.2,"Lexham Gardens, Kensington W8",8017,W8,1058.3333333333333
702,flat,3,2,0.1,"Merchant Square, Paddington W2",6327,W2,944
703,maisonette,3,2,0.2,"Howard Road, London E17",2500,E17,1058.3333333333333
704,flat,2,1,0.2,"Surbiton Hill Park, Surbiton KT5",1350,KT5,1058.3333333333333
705,flat,2,2,0.1,"Newark Street, London E1",2000,E1,1058.3333333333333
706,flat,2,1,0.1,"Parsons Mead, 58 Holmesdale Road, Teddington TW11",1400,TW11,1058.3333333333333
707,flat,1,2,0.1,"Thames Close, Hampton TW12",1350,TW12,1058.3333333333333
708,mews house,3,1,0.1,"Denham Green Close, Denham UB9",1200,UB9,1058.3333333333333
709,terraced house,3,1,0.2,"Beauchamp Road, Sutton SM1",1550,SM1,1058.3333333333333
710,maisonette,2,1,0.2,"Kings Grove, Gidea Park, Romford RM1",1300,RM1,1058.3333333333333
711,flat,1,1,0.1,"Hill Street, Mayfair W1J",2925,W1J,420
712,flat,4,2,0.1,"Finchley Road, London NW8",5308,NW8,1058.3333333333333
713,flat,1,1,0.1,"Crozier House, 17 Wilkinson Road, London SW8",1350,SW8,1058.3333333333333
714,maisonette,2,1,0.2,"Shaef Way, Teddington TW11",1750,TW11,1058.3333333333333
715,flat,1,1,0.3,"Beeching House, 40 Hampton Road, Teddington TW11",1450,TW11,1058.3333333333333
716,flat,1,1,0.1,"Consort Rise House, 199-203 Buckingham Palace Rd, Belgravia, Westminster, London SW1W",2167,SW1W,1058.3333333333333
717,terraced house,4,2,0.1,"Albert Road, New Malden KT3",2350,KT3,1058.3333333333333
718,maisonette,2,1,0.2,"South Row, London SE3",2000,SE3,1058.3333333333333
719,flat,2,2,0.1,"Pelham Court, Chelsea SW3",3878,SW3,843
720,flat,1,1,0.1,"Kensington Garden Square, London W2",2817,W2,315
721,flat,2,2,0.1,"Pelham Court, Chelsea SW3",3423,SW3,688
722,flat,2,1,0.1,"Canonbury Square, Islington, London N1",2708,N1,1058.3333333333333
723,flat,2,2,0.0,"Blyth Road, Hayes UB3",1950,UB3,1058.3333333333333
724,flat,1,1,0.2,"Avenue South, Surbiton KT5",995,KT5,1058.3333333333333
725,flat,2,2,0.1,"40-48 High Street, Acton W3",1825,W3,1058.3333333333333
726,semi-detached house,3,1,0.0,"London Road, North Cheam, Sutton SM3",1850,SM3,89
727,flat,1,1,0.1,"Greville Street, London EC1N",1712,EC1N,515
728,mews house,3,3,0.2,"Northwick Close, St. John's Wood, London NW8",4000,NW8,1058.3333333333333
729,flat,4,2,0.1,"Finchley Road, St John's Wood NW8",5308,NW8,1058.3333333333333
730,terraced house,3,1,0.2,"The Chase, Chadwell Heath, Romford, Essex RM6",1650,RM6,1058.3333333333333
731,terraced house,4,1,0.3,"Waltham Way, London E4",2100,E4,1058.3333333333333
732,flat,2,2,0.4,"Thornes House, Nine Elms SW11",4052,SW11,864
733,semi-detached house,3,1,0.2,"Hall Lane, Hendon NW4",1975,NW4,1058.3333333333333
734,flat,1,1,0.1,"Cobalt Point, 38 Millharbour, Canary Wharf, London E14",1820,E14,1058.3333333333333
735,property,6,3,0.3,"Ranulf Road, Hocroft Estate NW2",8017,NW2,1058.3333333333333
736,bungalow,3,1,0.1,"Mossford Lane, Ilford IG6",1750,IG6,1058.3333333333333
737,flat,4,2,0.0,"Finchley Road, St.Johns Wood NW8",5308,NW8,1316
738,flat,2,2,0.3,"London Road, Mitcham, Surrey CR4",1799,CR4,1058.3333333333333
739,end terrace house,4,2,0.1,"Beverley Road, London E4",2295,E4,1058.3333333333333
740,flat,3,2,0.2,"One Blackfriars, 1-16 Blackfriars Road, London SE1",8667,SE1,1058.3333333333333
741,,2,1,0.1,"Micheldever Road, London SE12",1600,SE12,1058.3333333333333
742,semi-detached house,3,2,0.3,"Wycliffe Road, Wimbledon SW19",2600,SW19,1058.3333333333333
743,flat,1,1,0.0,"Integra House, Wimbledon SW19",1750,SW19,1058.3333333333333
744,flat,1,1,0.1,"Wem Tower, Wembley HA9",1250,HA9,1058.3333333333333
745,flat,2,1,0.2,"London Road, Kingston KT2",1650,KT2,1058.3333333333333
746,flat,1,1,0.1,"Napier Road, Leytonstone E11",1300,E11,1058.3333333333333
747,flat,3,2,0.2,"Charcot Road, London NW9",2123,NW9,900
748,flat,2,2,0.1,"George Street, Croydon CR0",1920,CR0,1058.3333333333333
749,maisonette,3,1,0.1,"Stanstead Road, London SE23",1900,SE23,1058.3333333333333
750,flat,1,1,0.1,"Blyth Road, Hayes UB3",1475,UB3,1058.3333333333333
751,flat,2,2,0.1,"Binney Street, Mayfair W1K",9100,W1K,1008
752,flat,1,1,0.1,"Wem Tower, Wembley HA9",1274,HA9,1058.3333333333333
753,flat,3,2,0.0,"Camley Street, London N1C",3878,N1C,1058.3333333333333
754,flat,2,2,0.1,"Thyme Close, London SE3",1375,SE3,1058.3333333333333
755,flat,2,1,0.2,"Darkes Lane, Potters Bar EN6",1395,EN6,624
756,maisonette,2,1,0.1,"Uplands Road, Crouch End, London N8",1695,N8,1058.3333333333333
757,end terrace house,4,3,0.1,"Leeward Gardens, London SW19",3400,SW19,1367
758,flat,3,2,0.0,"Pan Peninsula Square, London E14",5997,E14,1058.3333333333333
759,flat,2,2,0.3,"Greenford Quay, Greenford UB6",2309,UB6,1058.3333333333333
760,flat,2,1,0.1,"Tennyson Apartments, 1 Saffron Central Square, Croydon CR0",1400,CR0,1058.3333333333333
761,flat,2,2,0.2,"Ruislip, London HA4",1600,HA4,1058.3333333333333
762,flat,3,3,0.0,"Abbeville Road, London SW4",3500,SW4,1058.3333333333333
763,flat,1,1,0.2,"Earlsfield Road, London SW18",1300,SW18,1058.3333333333333
764,flat,2,2,0.2,"Mount Ararat Road, Richmond, Surrey TW10",2700,TW10,1058.3333333333333
